SKU,Category,Size,Units_in_stock,Days_of_inventory_left,Dead_stock_flag,date
SKU-SHI-0052,Shirts,S,78,999,Y,1/2/2022
SKU-JAC-0053,Jackets,M,72,999,Y,1/2/2022
SKU-SHI-0054,Shirts,XS,78,999,Y,1/2/2022
SKU-JAC-0055,Jackets,XS,111,999,Y,1/2/2022
SKU-SHI-0001,Shirts,XS,8,6,N,1/9/2022
SKU-PAN-0002,Pants,L,23,30,N,1/9/2022
SKU-SHI-0003,Shirts,XS,52,97.5,N,1/9/2022
SKU-TSH-0004,Tshirts,L,108,270,N,1/9/2022
SKU-CRO-0005,Croptops,L,47,156.7,N,1/9/2022
SKU-SHI-0006,Shirts,XL,89,445,N,1/9/2022
SKU-CRO-0007,Croptops,L,97,727.5,N,1/9/2022
SKU-PAN-0008,Pants,XXL,129,645,N,1/9/2022
SKU-PAN-0009,Pants,S,91,455,N,1/9/2022
SKU-TSH-0010,Tshirts,M,82,615,N,1/9/2022
SKU-SHO-0011,Shorts,L,122,999,Y,1/9/2022
SKU-TSH-0012,Tshirts,XS,57,999,N,1/9/2022
SKU-SHI-0013,Shirts,XXL,90,999,Y,1/9/2022
SKU-CRO-0014,Croptops,XXL,50,375,N,1/9/2022
SKU-SHI-0015,Shirts,M,137,999,N,1/9/2022
SKU-PAN-0016,Pants,XS,127,999,Y,1/9/2022
SKU-SHI-0017,Shirts,S,79,790,N,1/9/2022
SKU-PAN-0018,Pants,M,120,999,N,1/9/2022
SKU-CRO-0019,Croptops,M,58,580,N,1/9/2022
SKU-PAN-0020,Pants,S,89,999,N,1/9/2022
SKU-PAN-0021,Pants,M,83,999,N,1/9/2022
SKU-PAN-0022,Pants,S,106,999,Y,1/9/2022
SKU-SHO-0023,Shorts,XS,127,999,N,1/9/2022
SKU-SHI-0024,Shirts,M,62,999,N,1/9/2022
SKU-JAC-0025,Jackets,XS,94,999,N,1/9/2022
SKU-PAN-0026,Pants,L,87,999,Y,1/9/2022
SKU-JAC-0027,Jackets,XL,48,999,N,1/9/2022
SKU-PAN-0028,Pants,XL,107,999,Y,1/9/2022
SKU-TSH-0029,Tshirts,L,97,999,Y,1/9/2022
SKU-CRO-0030,Croptops,XL,62,999,Y,1/9/2022
SKU-JAC-0031,Jackets,XXL,48,999,N,1/9/2022
SKU-TSH-0032,Tshirts,XS,96,999,N,1/9/2022
SKU-SHO-0033,Shorts,XL,119,999,N,1/9/2022
SKU-PAN-0034,Pants,XS,65,999,N,1/9/2022
SKU-CRO-0035,Croptops,XXL,53,999,Y,1/9/2022
SKU-SHI-0036,Shirts,M,129,999,N,1/9/2022
SKU-CRO-0037,Croptops,S,116,999,Y,1/9/2022
SKU-CRO-0038,Croptops,L,46,999,N,1/9/2022
SKU-SHO-0039,Shorts,XL,113,999,N,1/9/2022
SKU-SHO-0040,Shorts,XS,127,999,Y,1/9/2022
SKU-TSH-0041,Tshirts,XXL,128,999,N,1/9/2022
SKU-CRO-0042,Croptops,L,125,999,Y,1/9/2022
SKU-CRO-0043,Croptops,L,59,885,N,1/9/2022
SKU-JAC-0044,Jackets,XXL,107,999,N,1/9/2022
SKU-SHI-0045,Shirts,M,108,999,N,1/9/2022
SKU-JAC-0046,Jackets,XL,129,999,N,1/9/2022
SKU-PAN-0047,Pants,M,102,999,N,1/9/2022
SKU-CRO-0048,Croptops,L,53,795,N,1/9/2022
SKU-TSH-0049,Tshirts,L,124,999,N,1/9/2022
SKU-SHO-0050,Shorts,XXL,121,999,N,1/9/2022
SKU-SHI-0051,Shirts,XL,72,999,N,1/9/2022
SKU-SHI-0052,Shirts,XXL,78,999,Y,1/9/2022
SKU-JAC-0053,Jackets,XL,70,999,N,1/9/2022
SKU-SHI-0054,Shirts,XXL,78,999,Y,1/9/2022
SKU-JAC-0055,Jackets,XL,111,999,Y,1/9/2022
SKU-SHI-0001,Shirts,XL,0,0,N,1/16/2022
SKU-PAN-0002,Pants,XL,0,0,N,1/16/2022
SKU-SHI-0003,Shirts,M,35,31.8,N,1/16/2022
SKU-TSH-0004,Tshirts,L,93,103.3,N,1/16/2022
SKU-CRO-0005,Croptops,XS,44,110,N,1/16/2022
SKU-SHI-0006,Shirts,XXL,82,189.2,N,1/16/2022
SKU-CRO-0007,Croptops,XL,93,348.8,N,1/16/2022
SKU-PAN-0008,Pants,S,125,375,N,1/16/2022
SKU-PAN-0009,Pants,S,87,261,N,1/16/2022
SKU-TSH-0010,Tshirts,XXL,78,292.5,N,1/16/2022
SKU-SHO-0011,Shorts,XS,119,999,N,1/16/2022
SKU-TSH-0012,Tshirts,XXL,53,318,N,1/16/2022
SKU-SHI-0013,Shirts,XXL,85,510,N,1/16/2022
SKU-CRO-0014,Croptops,S,46,172.5,N,1/16/2022
SKU-SHI-0015,Shirts,S,137,999,N,1/16/2022
SKU-PAN-0016,Pants,XXL,123,922.5,N,1/16/2022
SKU-SHI-0017,Shirts,XXL,79,790,N,1/16/2022
SKU-PAN-0018,Pants,XL,117,877.5,N,1/16/2022
SKU-CRO-0019,Croptops,M,56,336,N,1/16/2022
SKU-PAN-0020,Pants,M,86,516,N,1/16/2022
SKU-PAN-0021,Pants,XXL,82,820,N,1/16/2022
SKU-PAN-0022,Pants,S,106,999,Y,1/16/2022
SKU-SHO-0023,Shorts,M,125,999,N,1/16/2022
SKU-SHI-0024,Shirts,S,62,999,N,1/16/2022
SKU-JAC-0025,Jackets,XL,93,999,N,1/16/2022
SKU-PAN-0026,Pants,XXL,85,999,N,1/16/2022
SKU-JAC-0027,Jackets,XS,47,705,N,1/16/2022
SKU-PAN-0028,Pants,L,106,999,N,1/16/2022
SKU-TSH-0029,Tshirts,XL,96,999,N,1/16/2022
SKU-CRO-0030,Croptops,M,60,900,N,1/16/2022
SKU-JAC-0031,Jackets,M,47,705,N,1/16/2022
SKU-TSH-0032,Tshirts,M,95,999,N,1/16/2022
SKU-SHO-0033,Shorts,XL,119,999,N,1/16/2022
SKU-PAN-0034,Pants,XS,64,960,N,1/16/2022
SKU-CRO-0035,Croptops,L,53,999,Y,1/16/2022
SKU-SHI-0036,Shirts,XXL,127,999,N,1/16/2022
SKU-CRO-0037,Croptops,M,116,999,Y,1/16/2022
SKU-CRO-0038,Croptops,M,45,675,N,1/16/2022
SKU-SHO-0039,Shorts,S,113,999,N,1/16/2022
SKU-SHO-0040,Shorts,XXL,127,999,Y,1/16/2022
SKU-TSH-0041,Tshirts,M,128,999,N,1/16/2022
SKU-CRO-0042,Croptops,XS,125,999,Y,1/16/2022
SKU-CRO-0043,Croptops,M,59,885,N,1/16/2022
SKU-JAC-0044,Jackets,S,107,999,N,1/16/2022
SKU-SHI-0045,Shirts,M,108,999,N,1/16/2022
SKU-JAC-0046,Jackets,XL,129,999,N,1/16/2022
SKU-PAN-0047,Pants,M,102,999,N,1/16/2022
SKU-CRO-0048,Croptops,XS,53,795,N,1/16/2022
SKU-TSH-0049,Tshirts,XS,124,999,N,1/16/2022
SKU-SHO-0050,Shorts,S,120,999,N,1/16/2022
SKU-SHI-0051,Shirts,XS,72,999,N,1/16/2022
SKU-SHI-0052,Shirts,XL,78,999,Y,1/16/2022
SKU-JAC-0053,Jackets,XS,70,999,N,1/16/2022
SKU-SHI-0054,Shirts,XXL,76,999,N,1/16/2022
SKU-JAC-0055,Jackets,XS,111,999,Y,1/16/2022
SKU-SHI-0001,Shirts,S,0,0,N,1/23/2022
SKU-PAN-0002,Pants,L,0,0,N,1/23/2022
SKU-SHI-0003,Shirts,XS,22,14.3,N,1/23/2022
SKU-TSH-0004,Tshirts,M,84,70,N,1/23/2022
SKU-CRO-0005,Croptops,S,34,46.4,N,1/23/2022
SKU-SHI-0006,Shirts,L,77,128.3,N,1/23/2022
SKU-CRO-0007,Croptops,L,87,186.4,N,1/23/2022
SKU-PAN-0008,Pants,S,122,281.5,N,1/23/2022
SKU-PAN-0009,Pants,XS,84,193.8,N,1/23/2022
SKU-TSH-0010,Tshirts,L,76,228,N,1/23/2022
SKU-SHO-0011,Shorts,M,117,702,N,1/23/2022
SKU-TSH-0012,Tshirts,S,51,218.6,N,1/23/2022
SKU-SHI-0013,Shirts,XXL,80,240,N,1/23/2022
SKU-CRO-0014,Croptops,XS,43,117.3,N,1/23/2022
SKU-SHI-0015,Shirts,XXL,136,999,N,1/23/2022
SKU-PAN-0016,Pants,S,122,732,N,1/23/2022
SKU-SHI-0017,Shirts,M,77,462,N,1/23/2022
SKU-PAN-0018,Pants,XL,114,488.6,N,1/23/2022
SKU-CRO-0019,Croptops,XS,52,173.3,N,1/23/2022
SKU-PAN-0020,Pants,XXL,85,425,N,1/23/2022
SKU-PAN-0021,Pants,S,80,480,N,1/23/2022
SKU-PAN-0022,Pants,XXL,106,999,Y,1/23/2022
SKU-SHO-0023,Shorts,M,124,930,N,1/23/2022
SKU-SHI-0024,Shirts,XS,59,442.5,N,1/23/2022
SKU-JAC-0025,Jackets,XXL,87,326.2,N,1/23/2022
SKU-PAN-0026,Pants,S,84,840,N,1/23/2022
SKU-JAC-0027,Jackets,M,44,264,N,1/23/2022
SKU-PAN-0028,Pants,S,103,772.5,N,1/23/2022
SKU-TSH-0029,Tshirts,XS,95,999,N,1/23/2022
SKU-CRO-0030,Croptops,XS,60,900,N,1/23/2022
SKU-JAC-0031,Jackets,L,47,705,N,1/23/2022
SKU-TSH-0032,Tshirts,XL,91,455,N,1/23/2022
SKU-SHO-0033,Shorts,XXL,119,999,N,1/23/2022
SKU-PAN-0034,Pants,XL,63,630,N,1/23/2022
SKU-CRO-0035,Croptops,XL,52,999,N,1/23/2022
SKU-SHI-0036,Shirts,S,127,999,N,1/23/2022
SKU-CRO-0037,Croptops,XS,116,999,Y,1/23/2022
SKU-CRO-0038,Croptops,XL,45,675,N,1/23/2022
SKU-SHO-0039,Shorts,S,112,999,N,1/23/2022
SKU-SHO-0040,Shorts,XXL,125,999,N,1/23/2022
SKU-TSH-0041,Tshirts,L,128,999,N,1/23/2022
SKU-CRO-0042,Croptops,L,124,999,N,1/23/2022
SKU-CRO-0043,Croptops,M,58,580,N,1/23/2022
SKU-JAC-0044,Jackets,XL,106,999,N,1/23/2022
SKU-SHI-0045,Shirts,L,108,999,N,1/23/2022
SKU-JAC-0046,Jackets,M,128,999,N,1/23/2022
SKU-PAN-0047,Pants,L,102,999,N,1/23/2022
SKU-CRO-0048,Croptops,XL,53,795,N,1/23/2022
SKU-TSH-0049,Tshirts,XS,124,999,N,1/23/2022
SKU-SHO-0050,Shorts,M,120,999,N,1/23/2022
SKU-SHI-0051,Shirts,XS,72,999,N,1/23/2022
SKU-SHI-0052,Shirts,XXL,78,999,Y,1/23/2022
SKU-JAC-0053,Jackets,L,69,690,N,1/23/2022
SKU-SHI-0054,Shirts,XXL,76,999,N,1/23/2022
SKU-JAC-0055,Jackets,L,110,999,N,1/23/2022
SKU-SHI-0001,Shirts,S,0,0,N,1/30/2022
SKU-PAN-0002,Pants,S,0,0,N,1/30/2022
SKU-SHI-0003,Shirts,M,9,4.6,N,1/30/2022
SKU-TSH-0004,Tshirts,XS,73,46.6,N,1/30/2022
SKU-CRO-0005,Croptops,M,29,32.2,N,1/30/2022
SKU-SHI-0006,Shirts,L,72,93.9,N,1/30/2022
SKU-CRO-0007,Croptops,XS,83,138.3,N,1/30/2022
SKU-PAN-0008,Pants,M,117,195,N,1/30/2022
SKU-PAN-0009,Pants,S,83,177.9,N,1/30/2022
SKU-TSH-0010,Tshirts,XXL,70,131.2,N,1/30/2022
SKU-SHO-0011,Shorts,XL,117,702,N,1/30/2022
SKU-TSH-0012,Tshirts,XL,48,144,N,1/30/2022
SKU-SHI-0013,Shirts,M,74,138.8,N,1/30/2022
SKU-CRO-0014,Croptops,S,43,117.3,N,1/30/2022
SKU-SHI-0015,Shirts,L,135,810,N,1/30/2022
SKU-PAN-0016,Pants,M,120,514.3,N,1/30/2022
SKU-SHI-0017,Shirts,L,75,321.4,N,1/30/2022
SKU-PAN-0018,Pants,XS,113,423.8,N,1/30/2022
SKU-CRO-0019,Croptops,XL,52,173.3,N,1/30/2022
SKU-PAN-0020,Pants,S,82,273.3,N,1/30/2022
SKU-PAN-0021,Pants,S,78,334.3,N,1/30/2022
SKU-PAN-0022,Pants,XS,104,999,N,1/30/2022
SKU-SHO-0023,Shorts,M,120,450,N,1/30/2022
SKU-SHI-0024,Shirts,XS,58,348,N,1/30/2022
SKU-JAC-0025,Jackets,L,85,255,N,1/30/2022
SKU-PAN-0026,Pants,L,83,622.5,N,1/30/2022
SKU-JAC-0027,Jackets,XXL,44,264,N,1/30/2022
SKU-PAN-0028,Pants,S,100,428.6,N,1/30/2022
SKU-TSH-0029,Tshirts,S,94,940,N,1/30/2022
SKU-CRO-0030,Croptops,XL,60,900,N,1/30/2022
SKU-JAC-0031,Jackets,XL,47,705,N,1/30/2022
SKU-TSH-0032,Tshirts,M,91,455,N,1/30/2022
SKU-SHO-0033,Shorts,XXL,118,999,N,1/30/2022
SKU-PAN-0034,Pants,L,63,630,N,1/30/2022
SKU-CRO-0035,Croptops,L,49,367.5,N,1/30/2022
SKU-SHI-0036,Shirts,S,127,999,N,1/30/2022
SKU-CRO-0037,Croptops,XXL,113,999,N,1/30/2022
SKU-CRO-0038,Croptops,M,45,675,N,1/30/2022
SKU-SHO-0039,Shorts,L,111,832.5,N,1/30/2022
SKU-SHO-0040,Shorts,XS,124,999,N,1/30/2022
SKU-TSH-0041,Tshirts,L,126,999,N,1/30/2022
SKU-CRO-0042,Croptops,XXL,123,999,N,1/30/2022
SKU-CRO-0043,Croptops,XS,57,427.5,N,1/30/2022
SKU-JAC-0044,Jackets,L,106,999,N,1/30/2022
SKU-SHI-0045,Shirts,XXL,108,999,N,1/30/2022
SKU-JAC-0046,Jackets,XL,125,750,N,1/30/2022
SKU-PAN-0047,Pants,XS,102,999,N,1/30/2022
SKU-CRO-0048,Croptops,S,53,795,N,1/30/2022
SKU-TSH-0049,Tshirts,L,122,915,N,1/30/2022
SKU-SHO-0050,Shorts,XL,117,585,N,1/30/2022
SKU-SHI-0051,Shirts,S,71,710,N,1/30/2022
SKU-SHI-0052,Shirts,XXL,78,999,Y,1/30/2022
SKU-JAC-0053,Jackets,M,69,690,N,1/30/2022
SKU-SHI-0054,Shirts,XXL,75,750,N,1/30/2022
SKU-JAC-0055,Jackets,XL,110,999,N,1/30/2022
SKU-SHI-0001,Shirts,M,0,0,N,2/6/2022
SKU-PAN-0002,Pants,L,0,0,N,2/6/2022
SKU-SHI-0003,Shirts,XXL,0,0,N,2/6/2022
SKU-TSH-0004,Tshirts,XXL,66,44,N,2/6/2022
SKU-CRO-0005,Croptops,XL,25,31.2,N,2/6/2022
SKU-SHI-0006,Shirts,S,67,83.8,N,2/6/2022
SKU-CRO-0007,Croptops,M,79,118.5,N,2/6/2022
SKU-PAN-0008,Pants,L,110,173.7,N,2/6/2022
SKU-PAN-0009,Pants,XL,78,167.1,N,2/6/2022
SKU-TSH-0010,Tshirts,XS,64,101.1,N,2/6/2022
SKU-SHO-0011,Shorts,M,112,336,N,2/6/2022
SKU-TSH-0012,Tshirts,M,45,112.5,N,2/6/2022
SKU-SHI-0013,Shirts,XS,73,128.8,N,2/6/2022
SKU-CRO-0014,Croptops,S,40,109.1,N,2/6/2022
SKU-SHI-0015,Shirts,S,135,999,N,2/6/2022
SKU-PAN-0016,Pants,S,117,351,N,2/6/2022
SKU-SHI-0017,Shirts,XS,72,308.6,N,2/6/2022
SKU-PAN-0018,Pants,S,113,484.3,N,2/6/2022
SKU-CRO-0019,Croptops,M,52,260,N,2/6/2022
SKU-PAN-0020,Pants,XS,79,237,N,2/6/2022
SKU-PAN-0021,Pants,L,77,330,N,2/6/2022
SKU-PAN-0022,Pants,XL,104,999,N,2/6/2022
SKU-SHO-0023,Shorts,XL,117,351,N,2/6/2022
SKU-SHI-0024,Shirts,XXL,58,435,N,2/6/2022
SKU-JAC-0025,Jackets,XXL,85,283.3,N,2/6/2022
SKU-PAN-0026,Pants,S,82,492,N,2/6/2022
SKU-JAC-0027,Jackets,S,43,258,N,2/6/2022
SKU-PAN-0028,Pants,XL,100,428.6,N,2/6/2022
SKU-TSH-0029,Tshirts,M,94,940,N,2/6/2022
SKU-CRO-0030,Croptops,M,60,900,N,2/6/2022
SKU-JAC-0031,Jackets,M,46,460,N,2/6/2022
SKU-TSH-0032,Tshirts,S,91,546,N,2/6/2022
SKU-SHO-0033,Shorts,M,116,999,N,2/6/2022
SKU-PAN-0034,Pants,XS,63,945,N,2/6/2022
SKU-CRO-0035,Croptops,XL,45,168.8,N,2/6/2022
SKU-SHI-0036,Shirts,XXL,127,999,N,2/6/2022
SKU-CRO-0037,Croptops,S,113,999,N,2/6/2022
SKU-CRO-0038,Croptops,XS,45,999,N,2/6/2022
SKU-SHO-0039,Shorts,XXL,110,825,N,2/6/2022
SKU-SHO-0040,Shorts,M,124,999,N,2/6/2022
SKU-TSH-0041,Tshirts,L,126,999,N,2/6/2022
SKU-CRO-0042,Croptops,XXL,123,999,N,2/6/2022
SKU-CRO-0043,Croptops,S,57,855,N,2/6/2022
SKU-JAC-0044,Jackets,XL,105,999,N,2/6/2022
SKU-SHI-0045,Shirts,XXL,107,999,N,2/6/2022
SKU-JAC-0046,Jackets,XS,125,750,N,2/6/2022
SKU-PAN-0047,Pants,XXL,101,999,N,2/6/2022
SKU-CRO-0048,Croptops,XXL,52,999,N,2/6/2022
SKU-TSH-0049,Tshirts,XS,121,907.5,N,2/6/2022
SKU-SHO-0050,Shorts,XXL,117,877.5,N,2/6/2022
SKU-SHI-0051,Shirts,XS,70,700,N,2/6/2022
SKU-SHI-0052,Shirts,L,77,999,N,2/6/2022
SKU-JAC-0053,Jackets,XXL,69,999,N,2/6/2022
SKU-SHI-0054,Shirts,XL,75,750,N,2/6/2022
SKU-JAC-0055,Jackets,XXL,110,999,N,2/6/2022
SKU-SHI-0001,Shirts,L,0,0,N,2/13/2022
SKU-PAN-0002,Pants,XS,0,0,N,2/13/2022
SKU-SHI-0003,Shirts,XXL,0,0,N,2/13/2022
SKU-TSH-0004,Tshirts,L,63,54,N,2/13/2022
SKU-CRO-0005,Croptops,L,20,24,N,2/13/2022
SKU-SHI-0006,Shirts,S,62,88.6,N,2/13/2022
SKU-CRO-0007,Croptops,XS,74,105.7,N,2/13/2022
SKU-PAN-0008,Pants,XS,105,137,N,2/13/2022
SKU-PAN-0009,Pants,XXL,74,170.8,N,2/13/2022
SKU-TSH-0010,Tshirts,XXL,58,82.9,N,2/13/2022
SKU-SHO-0011,Shorts,XL,109,272.5,N,2/13/2022
SKU-TSH-0012,Tshirts,M,43,107.5,N,2/13/2022
SKU-SHI-0013,Shirts,XL,73,168.5,N,2/13/2022
SKU-CRO-0014,Croptops,S,37,100.9,N,2/13/2022
SKU-SHI-0015,Shirts,L,131,655,N,2/13/2022
SKU-PAN-0016,Pants,L,115,313.6,N,2/13/2022
SKU-SHI-0017,Shirts,XS,71,266.2,N,2/13/2022
SKU-PAN-0018,Pants,XXL,112,672,N,2/13/2022
SKU-CRO-0019,Croptops,XL,51,218.6,N,2/13/2022
SKU-PAN-0020,Pants,XS,79,263.3,N,2/13/2022
SKU-PAN-0021,Pants,L,75,281.2,N,2/13/2022
SKU-PAN-0022,Pants,S,102,765,N,2/13/2022
SKU-SHO-0023,Shorts,S,116,386.7,N,2/13/2022
SKU-SHI-0024,Shirts,XS,55,235.7,N,2/13/2022
SKU-JAC-0025,Jackets,XL,81,186.9,N,2/13/2022
SKU-PAN-0026,Pants,S,81,607.5,N,2/13/2022
SKU-JAC-0027,Jackets,S,42,252,N,2/13/2022
SKU-PAN-0028,Pants,L,99,424.3,N,2/13/2022
SKU-TSH-0029,Tshirts,M,93,697.5,N,2/13/2022
SKU-CRO-0030,Croptops,XS,58,435,N,2/13/2022
SKU-JAC-0031,Jackets,S,45,675,N,2/13/2022
SKU-TSH-0032,Tshirts,XXL,91,546,N,2/13/2022
SKU-SHO-0033,Shorts,XXL,116,999,N,2/13/2022
SKU-PAN-0034,Pants,XL,63,999,N,2/13/2022
SKU-CRO-0035,Croptops,XXL,45,168.8,N,2/13/2022
SKU-SHI-0036,Shirts,L,124,999,N,2/13/2022
SKU-CRO-0037,Croptops,M,112,840,N,2/13/2022
SKU-CRO-0038,Croptops,L,44,660,N,2/13/2022
SKU-SHO-0039,Shorts,M,110,999,N,2/13/2022
SKU-SHO-0040,Shorts,M,124,999,N,2/13/2022
SKU-TSH-0041,Tshirts,XXL,125,999,N,2/13/2022
SKU-CRO-0042,Croptops,XL,122,999,N,2/13/2022
SKU-CRO-0043,Croptops,XL,57,855,N,2/13/2022
SKU-JAC-0044,Jackets,XL,105,999,N,2/13/2022
SKU-SHI-0045,Shirts,L,107,999,N,2/13/2022
SKU-JAC-0046,Jackets,XXL,125,937.5,N,2/13/2022
SKU-PAN-0047,Pants,L,101,999,N,2/13/2022
SKU-CRO-0048,Croptops,M,51,765,N,2/13/2022
SKU-TSH-0049,Tshirts,M,121,999,N,2/13/2022
SKU-SHO-0050,Shorts,XS,113,423.8,N,2/13/2022
SKU-SHI-0051,Shirts,L,69,690,N,2/13/2022
SKU-SHI-0052,Shirts,XL,77,999,N,2/13/2022
SKU-JAC-0053,Jackets,M,69,999,N,2/13/2022
SKU-SHI-0054,Shirts,XXL,75,999,N,2/13/2022
SKU-JAC-0055,Jackets,L,110,999,N,2/13/2022
SKU-SHI-0001,Shirts,XXL,0,0,N,2/20/2022
SKU-PAN-0002,Pants,XXL,0,0,N,2/20/2022
SKU-SHI-0003,Shirts,M,0,0,N,2/20/2022
SKU-TSH-0004,Tshirts,XXL,55,50,N,2/20/2022
SKU-CRO-0005,Croptops,M,18,28.4,N,2/20/2022
SKU-SHI-0006,Shirts,M,60,100,N,2/20/2022
SKU-CRO-0007,Croptops,L,71,125.3,N,2/20/2022
SKU-PAN-0008,Pants,XL,102,145.7,N,2/20/2022
SKU-PAN-0009,Pants,S,71,163.8,N,2/20/2022
SKU-TSH-0010,Tshirts,M,53,69.1,N,2/20/2022
SKU-SHO-0011,Shorts,L,108,360,N,2/20/2022
SKU-TSH-0012,Tshirts,XL,42,140,N,2/20/2022
SKU-SHI-0013,Shirts,XS,71,213,N,2/20/2022
SKU-CRO-0014,Croptops,S,36,120,N,2/20/2022
SKU-SHI-0015,Shirts,XXL,130,650,N,2/20/2022
SKU-PAN-0016,Pants,XXL,113,376.7,N,2/20/2022
SKU-SHI-0017,Shirts,M,69,230,N,2/20/2022
SKU-PAN-0018,Pants,L,112,999,N,2/20/2022
SKU-CRO-0019,Croptops,L,51,999,N,2/20/2022
SKU-PAN-0020,Pants,S,77,288.8,N,2/20/2022
SKU-PAN-0021,Pants,XL,75,375,N,2/20/2022
SKU-PAN-0022,Pants,XS,100,500,N,2/20/2022
SKU-SHO-0023,Shorts,L,114,342,N,2/20/2022
SKU-SHI-0024,Shirts,L,52,222.9,N,2/20/2022
SKU-JAC-0025,Jackets,S,81,303.8,N,2/20/2022
SKU-PAN-0026,Pants,M,79,474,N,2/20/2022
SKU-JAC-0027,Jackets,M,42,630,N,2/20/2022
SKU-PAN-0028,Pants,S,99,742.5,N,2/20/2022
SKU-TSH-0029,Tshirts,XXL,92,920,N,2/20/2022
SKU-CRO-0030,Croptops,L,57,570,N,2/20/2022
SKU-JAC-0031,Jackets,XL,44,440,N,2/20/2022
SKU-TSH-0032,Tshirts,XL,91,999,N,2/20/2022
SKU-SHO-0033,Shorts,XS,115,862.5,N,2/20/2022
SKU-PAN-0034,Pants,L,63,999,N,2/20/2022
SKU-CRO-0035,Croptops,XS,45,192.9,N,2/20/2022
SKU-SHI-0036,Shirts,XXL,123,922.5,N,2/20/2022
SKU-CRO-0037,Croptops,XS,112,840,N,2/20/2022
SKU-CRO-0038,Croptops,M,42,420,N,2/20/2022
SKU-SHO-0039,Shorts,XXL,109,999,N,2/20/2022
SKU-SHO-0040,Shorts,S,124,999,N,2/20/2022
SKU-TSH-0041,Tshirts,XS,124,930,N,2/20/2022
SKU-CRO-0042,Croptops,M,122,999,N,2/20/2022
SKU-CRO-0043,Croptops,XXL,56,840,N,2/20/2022
SKU-JAC-0044,Jackets,M,105,999,N,2/20/2022
SKU-SHI-0045,Shirts,L,107,999,N,2/20/2022
SKU-JAC-0046,Jackets,XXL,125,937.5,N,2/20/2022
SKU-PAN-0047,Pants,L,101,999,N,2/20/2022
