SKU,Vendor,Order_quantity,Cost_per_unit,Order_date,Expected_delivery,Actual_delivery,Lead_time
SKU-CRO-0005,StitchWorks India,59,846,6/26/2022,8/20/2022,8/20/2022,55
SKU-CRO-0014,Apex Fashions,46,756,6/26/2022,7/24/2022,7/29/2022,33
SKU-PAN-0002,Apex Fashions,120,982,7/3/2022,8/5/2022,8/10/2022,38
SKU-CRO-0007,Apex Fashions,74,818,7/3/2022,8/28/2022,8/29/2022,57
SKU-TSH-0012,UrbanWeave Co.,40,715,7/3/2022,8/15/2022,8/17/2022,45
SKU-SHI-0003,KnitCraft Studio,76,1004,7/10/2022,8/13/2022,8/15/2022,36
SKU-TSH-0004,StitchWorks India,52,539,7/17/2022,8/22/2022,8/27/2022,41
SKU-SHI-0006,KnitCraft Studio,44,1097,7/17/2022,8/18/2022,8/19/2022,33
SKU-PAN-0009,KnitCraft Studio,40,1008,7/17/2022,9/9/2022,9/9/2022,54
SKU-TSH-0010,WestCo Garments,64,782,7/17/2022,8/14/2022,8/19/2022,33
SKU-SHI-0001,UrbanWeave Co.,256,705,7/24/2022,8/30/2022,9/4/2022,42
SKU-CRO-0005,StitchWorks India,75,846,7/24/2022,9/3/2022,9/8/2022,46
SKU-CRO-0014,Apex Fashions,78,756,7/24/2022,8/28/2022,8/30/2022,37
SKU-PAN-0002,Apex Fashions,125,982,7/31/2022,9/24/2022,9/26/2022,57
SKU-CRO-0007,Apex Fashions,80,818,7/31/2022,9/19/2022,9/19/2022,50
SKU-TSH-0012,UrbanWeave Co.,70,715,7/31/2022,9/24/2022,9/27/2022,58
SKU-SHI-0003,KnitCraft Studio,112,1004,8/7/2022,9/13/2022,9/18/2022,42
SKU-TSH-0004,StitchWorks India,112,539,8/14/2022,10/3/2022,10/8/2022,55
SKU-SHI-0006,KnitCraft Studio,77,1097,8/14/2022,9/19/2022,9/21/2022,38
SKU-PAN-0008,StitchWorks India,67,1152,8/14/2022,9/17/2022,9/20/2022,37
SKU-PAN-0009,KnitCraft Studio,40,1008,8/14/2022,9/12/2022,9/12/2022,29
SKU-TSH-0010,WestCo Garments,40,782,8/14/2022,10/2/2022,10/4/2022,51
SKU-SHI-0001,UrbanWeave Co.,267,705,8/21/2022,9/21/2022,9/22/2022,32
SKU-CRO-0005,StitchWorks India,72,846,8/21/2022,10/1/2022,10/1/2022,41
SKU-CRO-0014,Apex Fashions,40,756,8/21/2022,10/2/2022,10/2/2022,42
SKU-PAN-0002,Apex Fashions,144,982,8/28/2022,9/28/2022,10/1/2022,34
SKU-CRO-0007,Apex Fashions,49,818,8/28/2022,9/29/2022,10/1/2022,34
SKU-TSH-0012,UrbanWeave Co.,40,715,8/28/2022,10/23/2022,10/23/2022,56
SKU-SHI-0003,KnitCraft Studio,98,1004,9/4/2022,10/11/2022,10/12/2022,38
SKU-TSH-0004,StitchWorks India,102,539,9/11/2022,10/20/2022,10/25/2022,44
SKU-SHI-0006,KnitCraft Studio,72,1097,9/11/2022,10/23/2022,10/24/2022,43
SKU-PAN-0008,StitchWorks India,52,1152,9/11/2022,10/17/2022,10/18/2022,37
SKU-PAN-0009,KnitCraft Studio,83,1008,9/11/2022,10/14/2022,10/14/2022,33
SKU-TSH-0010,WestCo Garments,74,782,9/11/2022,10/11/2022,10/11/2022,30
SKU-SHI-0001,UrbanWeave Co.,226,705,9/18/2022,11/9/2022,11/9/2022,52
SKU-CRO-0005,StitchWorks India,80,846,9/18/2022,11/12/2022,11/12/2022,55
SKU-SHI-0013,UrbanWeave Co.,40,1227,9/18/2022,11/6/2022,11/8/2022,51
SKU-CRO-0014,Apex Fashions,66,756,9/18/2022,10/31/2022,11/1/2022,44
SKU-CRO-0019,StitchWorks India,40,726,9/18/2022,10/30/2022,11/2/2022,45
SKU-PAN-0002,Apex Fashions,127,982,9/25/2022,10/27/2022,10/28/2022,33
SKU-CRO-0007,Apex Fashions,44,818,9/25/2022,11/13/2022,11/16/2022,52
SKU-TSH-0012,UrbanWeave Co.,51,715,9/25/2022,10/26/2022,10/29/2022,34
SKU-SHI-0003,KnitCraft Studio,92,1004,10/2/2022,11/7/2022,11/7/2022,36
SKU-TSH-0004,StitchWorks India,80,539,10/9/2022,11/19/2022,11/20/2022,42
SKU-SHI-0006,KnitCraft Studio,54,1097,10/9/2022,11/8/2022,11/8/2022,30
SKU-PAN-0008,StitchWorks India,40,1152,10/9/2022,11/27/2022,11/28/2022,50
SKU-PAN-0009,KnitCraft Studio,79,1008,10/9/2022,12/4/2022,12/5/2022,57
SKU-TSH-0010,WestCo Garments,40,782,10/9/2022,12/2/2022,12/2/2022,54
SKU-SHO-0011,WestCo Garments,71,761,10/9/2022,11/18/2022,11/21/2022,43
SKU-SHI-0001,UrbanWeave Co.,342,705,10/16/2022,11/20/2022,11/22/2022,37
SKU-CRO-0005,StitchWorks India,88,846,10/16/2022,12/6/2022,12/6/2022,51
SKU-SHI-0013,UrbanWeave Co.,67,1227,10/16/2022,12/6/2022,12/7/2022,52
SKU-CRO-0014,Apex Fashions,47,756,10/16/2022,11/24/2022,11/24/2022,39
SKU-CRO-0019,StitchWorks India,40,726,10/16/2022,11/17/2022,11/17/2022,32
SKU-PAN-0002,Apex Fashions,202,982,10/23/2022,12/4/2022,12/5/2022,43
SKU-CRO-0007,Apex Fashions,69,818,10/23/2022,12/8/2022,12/13/2022,51
SKU-TSH-0012,UrbanWeave Co.,64,715,10/23/2022,12/6/2022,12/6/2022,44
SKU-SHI-0003,KnitCraft Studio,100,1004,10/30/2022,12/19/2022,12/21/2022,52
SKU-TSH-0004,StitchWorks India,86,539,11/6/2022,12/13/2022,12/16/2022,40
SKU-SHI-0006,KnitCraft Studio,105,1097,11/6/2022,12/27/2022,12/30/2022,54
SKU-PAN-0008,StitchWorks India,82,1152,11/6/2022,12/31/2022,1/5/2023,60
SKU-PAN-0009,KnitCraft Studio,68,1008,11/6/2022,12/21/2022,12/26/2022,50
SKU-TSH-0010,WestCo Garments,82,782,11/6/2022,12/11/2022,12/11/2022,35
SKU-SHO-0011,WestCo Garments,40,761,11/6/2022,12/4/2022,12/4/2022,28
SKU-SHI-0001,UrbanWeave Co.,340,705,11/13/2022,12/19/2022,12/24/2022,41
SKU-CRO-0005,StitchWorks India,93,846,11/13/2022,12/19/2022,12/24/2022,41
SKU-SHI-0013,UrbanWeave Co.,44,1227,11/13/2022,1/4/2023,1/4/2023,52
SKU-CRO-0014,Apex Fashions,40,756,11/13/2022,12/15/2022,12/15/2022,32
SKU-CRO-0019,StitchWorks India,40,726,11/13/2022,12/29/2022,12/29/2022,46
SKU-JAC-0031,WestCo Garments,40,1800,11/13/2022,1/8/2023,1/10/2023,58
SKU-PAN-0002,Apex Fashions,170,982,11/20/2022,12/28/2022,1/2/2023,43
SKU-CRO-0007,Apex Fashions,69,818,11/20/2022,1/4/2023,1/5/2023,46
SKU-TSH-0012,UrbanWeave Co.,50,715,11/20/2022,12/21/2022,12/24/2022,34
SKU-SHI-0017,UrbanWeave Co.,40,842,11/20/2022,1/14/2023,1/15/2023,56
SKU-SHI-0024,KnitCraft Studio,62,854,11/20/2022,1/13/2023,1/16/2023,57
SKU-SHI-0003,KnitCraft Studio,122,1004,11/27/2022,12/25/2022,12/30/2022,33
SKU-TSH-0004,StitchWorks India,102,539,12/4/2022,1/4/2023,1/6/2023,33
SKU-SHI-0006,KnitCraft Studio,72,1097,12/4/2022,1/15/2023,1/17/2023,44
SKU-PAN-0008,StitchWorks India,74,1152,12/4/2022,1/10/2023,1/15/2023,42
SKU-PAN-0009,KnitCraft Studio,56,1008,12/4/2022,1/16/2023,1/18/2023,45
SKU-TSH-0010,WestCo Garments,72,782,12/4/2022,1/1/2023,1/1/2023,28
SKU-SHO-0011,WestCo Garments,41,761,12/4/2022,1/26/2023,1/26/2023,53
SKU-SHI-0001,UrbanWeave Co.,214,705,12/11/2022,1/27/2023,2/1/2023,52
SKU-CRO-0005,StitchWorks India,55,846,12/11/2022,1/14/2023,1/16/2023,36
SKU-SHI-0013,UrbanWeave Co.,40,1227,12/11/2022,1/22/2023,1/23/2023,43
SKU-CRO-0014,Apex Fashions,62,756,12/11/2022,1/21/2023,1/21/2023,41
SKU-CRO-0019,StitchWorks India,49,726,12/11/2022,1/11/2023,1/12/2023,32
SKU-JAC-0027,StitchWorks India,40,1871,12/11/2022,1/19/2023,1/22/2023,42
SKU-JAC-0031,WestCo Garments,40,1800,12/11/2022,1/18/2023,1/18/2023,38
SKU-PAN-0002,Apex Fashions,178,982,12/18/2022,2/6/2023,2/9/2023,53
SKU-CRO-0007,Apex Fashions,54,818,12/18/2022,2/1/2023,2/6/2023,50
SKU-TSH-0012,UrbanWeave Co.,72,715,12/18/2022,2/4/2023,2/6/2023,50
SKU-SHI-0017,UrbanWeave Co.,45,842,12/18/2022,2/12/2023,2/15/2023,59
SKU-SHI-0024,KnitCraft Studio,40,854,12/18/2022,2/11/2023,2/11/2023,55
SKU-SHI-0003,KnitCraft Studio,122,1004,12/25/2022,2/17/2023,2/20/2023,57
SKU-TSH-0004,StitchWorks India,100,539,1/1/2023,2/3/2023,2/6/2023,36
SKU-SHI-0006,KnitCraft Studio,75,1097,1/1/2023,1/31/2023,2/3/2023,33
SKU-PAN-0008,StitchWorks India,82,1152,1/1/2023,2/19/2023,2/22/2023,52
SKU-PAN-0009,KnitCraft Studio,78,1008,1/1/2023,2/19/2023,2/19/2023,49
SKU-TSH-0010,WestCo Garments,48,782,1/1/2023,2/13/2023,2/14/2023,44
SKU-SHO-0011,WestCo Garments,72,761,1/1/2023,2/18/2023,2/19/2023,49
SKU-SHI-0001,UrbanWeave Co.,358,705,1/8/2023,3/1/2023,3/4/2023,55
SKU-CRO-0005,StitchWorks India,110,846,1/8/2023,2/21/2023,2/21/2023,44
SKU-SHI-0013,UrbanWeave Co.,61,1227,1/8/2023,2/15/2023,2/16/2023,39
SKU-CRO-0014,Apex Fashions,62,756,1/8/2023,2/20/2023,2/20/2023,43
SKU-CRO-0019,StitchWorks India,40,726,1/8/2023,2/5/2023,2/10/2023,33
SKU-JAC-0027,StitchWorks India,40,1871,1/8/2023,2/8/2023,2/10/2023,33
SKU-JAC-0031,WestCo Garments,42,1800,1/8/2023,2/26/2023,3/3/2023,54
SKU-PAN-0002,Apex Fashions,164,982,1/15/2023,3/4/2023,3/4/2023,48
SKU-CRO-0007,Apex Fashions,63,818,1/15/2023,2/15/2023,2/15/2023,31
SKU-TSH-0012,UrbanWeave Co.,40,715,1/15/2023,2/22/2023,2/25/2023,41
SKU-SHI-0017,UrbanWeave Co.,63,842,1/15/2023,3/3/2023,3/3/2023,47
SKU-SHI-0024,KnitCraft Studio,52,854,1/15/2023,2/25/2023,2/26/2023,42
SKU-SHI-0003,KnitCraft Studio,118,1004,1/22/2023,2/26/2023,3/1/2023,38
SKU-TSH-0004,StitchWorks India,144,539,1/29/2023,3/9/2023,3/9/2023,39
SKU-SHI-0006,KnitCraft Studio,74,1097,1/29/2023,3/7/2023,3/8/2023,38
SKU-PAN-0008,StitchWorks India,66,1152,1/29/2023,3/11/2023,3/11/2023,41
SKU-PAN-0009,KnitCraft Studio,74,1008,1/29/2023,3/21/2023,3/21/2023,51
SKU-TSH-0010,WestCo Garments,56,782,1/29/2023,3/21/2023,3/26/2023,56
SKU-SHO-0011,WestCo Garments,40,761,1/29/2023,3/13/2023,3/13/2023,43
SKU-CRO-0038,WestCo Garments,40,1060,1/29/2023,3/25/2023,3/30/2023,60
SKU-SHI-0001,UrbanWeave Co.,433,705,2/5/2023,3/29/2023,4/3/2023,57
SKU-CRO-0005,StitchWorks India,126,846,2/5/2023,3/18/2023,3/23/2023,46
SKU-SHI-0013,UrbanWeave Co.,42,1227,2/5/2023,3/18/2023,3/20/2023,43
SKU-CRO-0014,Apex Fashions,84,756,2/5/2023,3/12/2023,3/17/2023,40
SKU-CRO-0019,StitchWorks India,40,726,2/5/2023,3/14/2023,3/17/2023,40
SKU-PAN-0020,WestCo Garments,40,1163,2/5/2023,3/26/2023,3/29/2023,52
SKU-PAN-0021,Apex Fashions,78,1216,2/5/2023,3/23/2023,3/26/2023,49
SKU-JAC-0027,StitchWorks India,71,1871,2/5/2023,3/9/2023,3/10/2023,33
SKU-JAC-0031,WestCo Garments,50,1800,2/5/2023,3/16/2023,3/19/2023,42
SKU-CRO-0035,Apex Fashions,40,721,2/5/2023,3/28/2023,3/30/2023,53
SKU-PAN-0002,Apex Fashions,236,982,2/12/2023,3/26/2023,3/26/2023,42
SKU-CRO-0007,Apex Fashions,102,818,2/12/2023,4/8/2023,4/8/2023,55
SKU-TSH-0012,UrbanWeave Co.,77,715,2/12/2023,3/21/2023,3/26/2023,42
SKU-SHI-0017,UrbanWeave Co.,58,842,2/12/2023,3/29/2023,4/3/2023,50
SKU-SHI-0024,KnitCraft Studio,42,854,2/12/2023,3/21/2023,3/21/2023,37
SKU-SHI-0003,KnitCraft Studio,132,1004,2/19/2023,3/27/2023,3/27/2023,36
SKU-TSH-0004,StitchWorks India,98,539,2/26/2023,4/22/2023,4/22/2023,55
SKU-SHI-0006,KnitCraft Studio,88,1097,2/26/2023,4/7/2023,4/9/2023,42
SKU-PAN-0008,StitchWorks India,63,1152,2/26/2023,4/11/2023,4/12/2023,45
SKU-PAN-0009,KnitCraft Studio,40,1008,2/26/2023,3/31/2023,4/5/2023,38
SKU-TSH-0010,WestCo Garments,50,782,2/26/2023,4/10/2023,4/11/2023,44
SKU-SHO-0011,WestCo Garments,77,761,2/26/2023,4/15/2023,4/15/2023,48
SKU-PAN-0016,KnitCraft Studio,58,970,2/26/2023,3/29/2023,3/30/2023,32
SKU-CRO-0030,WestCo Garments,40,621,2/26/2023,4/1/2023,4/3/2023,36
SKU-CRO-0038,WestCo Garments,40,1060,2/26/2023,4/6/2023,4/9/2023,42
SKU-SHI-0001,UrbanWeave Co.,336,705,3/5/2023,4/2/2023,4/7/2023,33
SKU-CRO-0005,StitchWorks India,67,846,3/5/2023,4/18/2023,4/19/2023,45
SKU-SHI-0013,UrbanWeave Co.,48,1227,3/5/2023,4/9/2023,4/11/2023,37
SKU-CRO-0014,Apex Fashions,40,756,3/5/2023,4/10/2023,4/12/2023,38
SKU-SHI-0015,Apex Fashions,49,940,3/5/2023,4/2/2023,4/4/2023,30
SKU-CRO-0019,StitchWorks India,51,726,3/5/2023,4/19/2023,4/19/2023,45
SKU-PAN-0020,WestCo Garments,40,1163,3/5/2023,4/16/2023,4/18/2023,44
SKU-JAC-0027,StitchWorks India,66,1871,3/5/2023,4/15/2023,4/15/2023,41
SKU-JAC-0031,WestCo Garments,60,1800,3/5/2023,4/24/2023,4/24/2023,50
SKU-CRO-0035,Apex Fashions,40,721,3/5/2023,4/19/2023,4/21/2023,47
SKU-PAN-0002,Apex Fashions,190,982,3/12/2023,4/12/2023,4/12/2023,31
SKU-CRO-0007,Apex Fashions,74,818,3/12/2023,4/26/2023,5/1/2023,50
SKU-TSH-0012,UrbanWeave Co.,58,715,3/12/2023,4/14/2023,4/16/2023,35
SKU-SHI-0017,UrbanWeave Co.,72,842,3/12/2023,5/6/2023,5/6/2023,55
SKU-PAN-0021,Apex Fashions,40,1216,3/12/2023,4/29/2023,5/4/2023,53
SKU-SHI-0024,KnitCraft Studio,40,854,3/12/2023,4/29/2023,4/29/2023,48
SKU-SHI-0003,KnitCraft Studio,134,1004,3/19/2023,4/16/2023,4/16/2023,28
SKU-TSH-0004,StitchWorks India,82,539,3/26/2023,5/6/2023,5/9/2023,44
SKU-SHI-0006,KnitCraft Studio,104,1097,3/26/2023,5/18/2023,5/20/2023,55
SKU-PAN-0008,StitchWorks India,79,1152,3/26/2023,5/10/2023,5/15/2023,50
SKU-PAN-0009,KnitCraft Studio,40,1008,3/26/2023,5/17/2023,5/17/2023,52
SKU-TSH-0010,WestCo Garments,70,782,3/26/2023,5/5/2023,5/7/2023,42
SKU-SHO-0011,WestCo Garments,49,761,3/26/2023,5/11/2023,5/16/2023,51
SKU-PAN-0016,KnitCraft Studio,42,970,3/26/2023,4/26/2023,4/26/2023,31
SKU-CRO-0030,WestCo Garments,41,621,3/26/2023,5/12/2023,5/12/2023,47
SKU-CRO-0038,WestCo Garments,40,1060,3/26/2023,5/12/2023,5/12/2023,47
SKU-SHI-0001,UrbanWeave Co.,362,705,4/2/2023,4/30/2023,4/30/2023,28
SKU-CRO-0005,StitchWorks India,108,846,4/2/2023,5/26/2023,5/28/2023,56
SKU-SHI-0013,UrbanWeave Co.,60,1227,4/2/2023,5/18/2023,5/18/2023,46
SKU-CRO-0014,Apex Fashions,52,756,4/2/2023,5/5/2023,5/6/2023,34
SKU-SHI-0015,Apex Fashions,49,940,4/2/2023,5/4/2023,5/4/2023,32
SKU-CRO-0019,StitchWorks India,40,726,4/2/2023,5/11/2023,5/13/2023,41
SKU-PAN-0020,WestCo Garments,40,1163,4/2/2023,5/13/2023,5/16/2023,44
SKU-JAC-0027,StitchWorks India,47,1871,4/2/2023,5/3/2023,5/4/2023,32
SKU-JAC-0031,WestCo Garments,40,1800,4/2/2023,5/8/2023,5/10/2023,38
SKU-CRO-0035,Apex Fashions,68,721,4/2/2023,5/2/2023,5/2/2023,30
SKU-PAN-0002,Apex Fashions,184,982,4/9/2023,5/11/2023,5/12/2023,33
SKU-CRO-0007,Apex Fashions,100,818,4/9/2023,5/30/2023,5/30/2023,51
SKU-TSH-0012,UrbanWeave Co.,67,715,4/9/2023,5/29/2023,5/30/2023,51
SKU-SHI-0017,UrbanWeave Co.,67,842,4/9/2023,5/10/2023,5/13/2023,34
SKU-PAN-0021,Apex Fashions,50,1216,4/9/2023,5/14/2023,5/19/2023,40
SKU-SHI-0024,KnitCraft Studio,44,854,4/9/2023,5/28/2023,5/29/2023,50
SKU-JAC-0025,StitchWorks India,54,1639,4/9/2023,5/15/2023,5/18/2023,39
SKU-SHI-0003,KnitCraft Studio,139,1004,4/16/2023,5/25/2023,5/27/2023,41
SKU-PAN-0022,KnitCraft Studio,56,1076,4/16/2023,6/10/2023,6/10/2023,55
SKU-TSH-0004,StitchWorks India,133,539,4/23/2023,6/7/2023,6/8/2023,46
SKU-SHI-0006,KnitCraft Studio,112,1097,4/23/2023,5/23/2023,5/26/2023,33
SKU-PAN-0008,StitchWorks India,54,1152,4/23/2023,6/9/2023,6/12/2023,50
SKU-PAN-0009,KnitCraft Studio,54,1008,4/23/2023,6/7/2023,6/7/2023,45
SKU-TSH-0010,WestCo Garments,53,782,4/23/2023,5/23/2023,5/26/2023,33
SKU-SHO-0011,WestCo Garments,78,761,4/23/2023,6/12/2023,6/17/2023,55
SKU-PAN-0016,KnitCraft Studio,62,970,4/23/2023,6/6/2023,6/7/2023,45
SKU-CRO-0030,WestCo Garments,52,621,4/23/2023,6/16/2023,6/21/2023,59
SKU-CRO-0038,WestCo Garments,40,1060,4/23/2023,5/21/2023,5/21/2023,28
SKU-SHI-0001,UrbanWeave Co.,418,705,4/30/2023,6/15/2023,6/15/2023,46
SKU-CRO-0005,StitchWorks India,133,846,4/30/2023,6/14/2023,6/17/2023,48
SKU-SHI-0013,UrbanWeave Co.,53,1227,4/30/2023,6/3/2023,6/3/2023,34
SKU-CRO-0014,Apex Fashions,70,756,4/30/2023,6/15/2023,6/17/2023,48
SKU-SHI-0015,Apex Fashions,71,940,4/30/2023,5/31/2023,6/5/2023,36
SKU-CRO-0019,StitchWorks India,64,726,4/30/2023,6/3/2023,6/4/2023,35
SKU-PAN-0020,WestCo Garments,62,1163,4/30/2023,6/25/2023,6/25/2023,56
SKU-JAC-0027,StitchWorks India,40,1871,4/30/2023,5/29/2023,5/31/2023,31
SKU-JAC-0031,WestCo Garments,40,1800,4/30/2023,5/28/2023,5/29/2023,29
SKU-CRO-0035,Apex Fashions,72,721,4/30/2023,6/8/2023,6/8/2023,39
SKU-PAN-0002,Apex Fashions,206,982,5/7/2023,6/22/2023,6/22/2023,46
SKU-CRO-0007,Apex Fashions,105,818,5/7/2023,6/11/2023,6/12/2023,36
SKU-TSH-0012,UrbanWeave Co.,42,715,5/7/2023,6/26/2023,6/26/2023,50
SKU-SHI-0017,UrbanWeave Co.,44,842,5/7/2023,6/12/2023,6/13/2023,37
SKU-PAN-0021,Apex Fashions,68,1216,5/7/2023,6/22/2023,6/24/2023,48
SKU-SHI-0024,KnitCraft Studio,40,854,5/7/2023,6/13/2023,6/13/2023,37
SKU-JAC-0025,StitchWorks India,64,1639,5/7/2023,6/6/2023,6/6/2023,30
SKU-SHI-0003,KnitCraft Studio,178,1004,5/14/2023,6/29/2023,6/29/2023,46
SKU-PAN-0022,KnitCraft Studio,66,1076,5/14/2023,7/6/2023,7/11/2023,58
SKU-TSH-0004,StitchWorks India,114,539,5/21/2023,6/23/2023,6/25/2023,35
SKU-SHI-0006,KnitCraft Studio,96,1097,5/21/2023,7/7/2023,7/7/2023,47
SKU-PAN-0008,StitchWorks India,43,1152,5/21/2023,7/5/2023,7/8/2023,48
SKU-PAN-0009,KnitCraft Studio,92,1008,5/21/2023,6/24/2023,6/26/2023,36
SKU-TSH-0010,WestCo Garments,44,782,5/21/2023,6/27/2023,6/27/2023,37
SKU-SHO-0011,WestCo Garments,57,761,5/21/2023,7/2/2023,7/5/2023,45
SKU-PAN-0016,KnitCraft Studio,54,970,5/21/2023,7/7/2023,7/8/2023,48
SKU-PAN-0018,Apex Fashions,41,1176,5/21/2023,6/30/2023,7/3/2023,43
SKU-CRO-0030,WestCo Garments,40,621,5/21/2023,6/30/2023,7/3/2023,43
SKU-CRO-0038,WestCo Garments,40,1060,5/21/2023,7/12/2023,7/12/2023,52
SKU-SHI-0001,UrbanWeave Co.,343,705,5/28/2023,7/23/2023,7/25/2023,58
SKU-CRO-0005,StitchWorks India,62,846,5/28/2023,7/8/2023,7/9/2023,42
SKU-SHI-0013,UrbanWeave Co.,66,1227,5/28/2023,7/20/2023,7/22/2023,55
SKU-CRO-0014,Apex Fashions,58,756,5/28/2023,7/14/2023,7/14/2023,47
SKU-SHI-0015,Apex Fashions,48,940,5/28/2023,7/17/2023,7/22/2023,55
SKU-CRO-0019,StitchWorks India,40,726,5/28/2023,7/21/2023,7/22/2023,55
SKU-PAN-0020,WestCo Garments,40,1163,5/28/2023,7/8/2023,7/10/2023,43
SKU-JAC-0027,StitchWorks India,40,1871,5/28/2023,7/15/2023,7/15/2023,48
SKU-JAC-0031,WestCo Garments,40,1800,5/28/2023,7/17/2023,7/22/2023,55
SKU-CRO-0035,Apex Fashions,40,721,5/28/2023,6/27/2023,7/2/2023,35
SKU-PAN-0002,Apex Fashions,133,982,6/4/2023,7/15/2023,7/20/2023,46
SKU-CRO-0007,Apex Fashions,68,818,6/4/2023,7/12/2023,7/14/2023,40
SKU-TSH-0012,UrbanWeave Co.,58,715,6/4/2023,7/8/2023,7/13/2023,39
SKU-SHI-0017,UrbanWeave Co.,40,842,6/4/2023,7/2/2023,7/4/2023,30
SKU-PAN-0021,Apex Fashions,72,1216,6/4/2023,7/17/2023,7/18/2023,44
SKU-SHI-0024,KnitCraft Studio,40,854,6/4/2023,7/18/2023,7/21/2023,47
SKU-JAC-0025,StitchWorks India,40,1639,6/4/2023,7/20/2023,7/20/2023,46
SKU-SHI-0003,KnitCraft Studio,122,1004,6/11/2023,7/20/2023,7/20/2023,39
SKU-PAN-0022,KnitCraft Studio,40,1076,6/11/2023,8/2/2023,8/3/2023,53
SKU-TSH-0004,StitchWorks India,68,539,6/18/2023,7/24/2023,7/25/2023,37
SKU-SHI-0006,KnitCraft Studio,72,1097,6/18/2023,8/2/2023,8/2/2023,45
SKU-PAN-0008,StitchWorks India,88,1152,6/18/2023,8/6/2023,8/11/2023,54
SKU-PAN-0009,KnitCraft Studio,70,1008,6/18/2023,8/11/2023,8/12/2023,55
SKU-TSH-0010,WestCo Garments,70,782,6/18/2023,8/2/2023,8/5/2023,48
SKU-SHO-0011,WestCo Garments,76,761,6/18/2023,7/19/2023,7/19/2023,31
SKU-PAN-0016,KnitCraft Studio,40,970,6/18/2023,8/2/2023,8/2/2023,45
SKU-PAN-0018,Apex Fashions,44,1176,6/18/2023,7/30/2023,8/4/2023,47
SKU-PAN-0026,WestCo Garments,40,1332,6/18/2023,8/5/2023,8/6/2023,49
