Order ID,Customer_ID,Order_date,Product,Order_value_gross,Order value_net,Discount_applied ,Payment_mode,Shipping_city,Pincode,First order_vs_repeat,Channel source_last_touch,Delivered_Returned_RTO
ORD-20220101-000023,CUST-0013242,1/1/2022,2-item cart,2063,1742,15.60%,Card,Kochi,136692,First,Email/SMS,Returned
ORD-20220101-000024,CUST-0019406,1/1/2022,2-item cart,2086,1602,23.20%,NetBanking,Patna,469837,First,Meta,Delivered
ORD-20220101-000025,CUST-0005571,1/1/2022,Mixed Cart,2316,2031,12.30%,COD,Mysuru,299935,First,Meta,Delivered
ORD-20220101-000026,CUST-0022273,1/1/2022,2-item cart,2155,1826,15.20%,Wallet,Chandigarh,343050,First,Influencer,Returned
ORD-20220102-000027,CUST-0003860,1/2/2022,Single item,2046,1814,11.30%,Card,Mysuru,721923,First,Google,Delivered
ORD-20220102-000028,CUST-0017362,1/2/2022,Mixed Cart,2694,2048,24.00%,UPI,Mumbai,268103,First,Meta,Delivered
ORD-20220102-000029,CUST-0005910,1/2/2022,2-item cart,2206,1774,19.60%,COD,Ahmedabad,771686,First,Offline (Friends/Family),RTO
ORD-20220102-000030,CUST-0018884,1/2/2022,2-item cart,1883,1558,17.30%,COD,Ahmedabad,202319,First,Meta,Delivered
ORD-20220102-000031,CUST-0002249,1/2/2022,Single item,2841,2105,25.90%,COD,Rajkot,447865,First,Google,RTO
ORD-20220102-000032,CUST-0011284,1/2/2022,2-item cart,1879,1649,12.20%,UPI,Mumbai,637787,First,Meta,Delivered
ORD-20220102-000033,CUST-0017175,1/2/2022,Single item,2462,1874,23.90%,UPI,Nashik,250289,First,Organic Instagram,Delivered
ORD-20220102-000034,CUST-0000627,1/2/2022,Single item,1800,1495,16.90%,UPI,Bhopal,247580,First,Meta,Delivered
ORD-20220102-000035,CUST-0012295,1/2/2022,Single item,2338,1923,17.70%,COD,Delhi,670709,First,Google,RTO
ORD-20220102-000036,CUST-0006055,1/2/2022,Mixed Cart,2385,1942,18.60%,Card,Hyderabad,683868,First,Influencer,Returned
ORD-20220102-000037,CUST-0003309,1/2/2022,Mixed Cart,2142,1929,10.00%,Card,Bengaluru,745054,First,Meta,Delivered
ORD-20220102-000038,CUST-0025716,1/2/2022,2-item cart,2063,1503,27.10%,UPI,Delhi,319453,First,Influencer,Delivered
ORD-20220102-000039,CUST-0017387,1/2/2022,Single item,2123,1668,21.40%,Card,Delhi,614013,First,Meta,Delivered
ORD-20220103-000040,CUST-0002952,1/3/2022,2-item cart,1833,1593,13.10%,COD,Mumbai,216211,First,Instagram DM,Delivered
ORD-20220103-000041,CUST-0001016,1/3/2022,Single item,1908,1575,17.50%,COD,Visakhapatnam,487713,First,Meta,Delivered
ORD-20220103-000042,CUST-0011430,1/3/2022,Mixed Cart,2188,1799,17.80%,UPI,Chandigarh,454626,First,Meta,Delivered
ORD-20220103-000043,CUST-0003731,1/3/2022,2-item cart,1800,1477,18.00%,Card,Ranchi,395038,First,Influencer,Delivered
ORD-20220103-000044,CUST-0026658,1/3/2022,Mixed Cart,2249,1809,19.60%,Card,Mumbai,277139,First,Organic Instagram,Delivered
ORD-20220103-000045,CUST-0025532,1/3/2022,2-item cart,2954,2269,23.20%,UPI,Mumbai,827713,First,Influencer,Delivered
ORD-20220103-000046,CUST-0001507,1/3/2022,Mixed Cart,2063,1613,21.80%,UPI,Chandigarh,122961,First,Influencer,Delivered
ORD-20220103-000047,CUST-0021950,1/3/2022,Single item,1954,1580,19.10%,COD,Jaipur,831674,First,Meta,Delivered
ORD-20220103-000048,CUST-0012612,1/3/2022,2-item cart,2182,1569,28.10%,UPI,Bhubaneswar,752687,First,Google,Returned
ORD-20220103-000049,CUST-0010307,1/3/2022,2-item cart,2693,1885,30.00%,Card,Delhi,401669,First,Meta,Delivered
ORD-20220103-000050,CUST-0026256,1/3/2022,Mixed Cart,2451,1730,29.40%,Card,Mumbai,632670,First,Meta,Delivered
ORD-20220103-000051,CUST-0018257,1/3/2022,Mixed Cart,2643,2236,15.40%,Card,Bhubaneswar,743554,First,Offline (Friends/Family),Delivered
ORD-20220103-000052,CUST-0011170,1/3/2022,Mixed Cart,2122,1717,19.10%,UPI,Mumbai,343747,First,Meta,Delivered
ORD-20220103-000053,CUST-0014829,1/3/2022,2-item cart,2358,1996,15.40%,UPI,Noida,342519,First,Meta,Delivered
ORD-20220103-000054,CUST-0001501,1/3/2022,2-item cart,1845,1445,21.70%,Wallet,Ahmedabad,539089,First,Google,Returned
ORD-20220103-000055,CUST-0023488,1/3/2022,2-item cart,2545,1996,21.60%,UPI,Noida,158760,First,Instagram DM,Delivered
ORD-20220103-000056,CUST-0004412,1/3/2022,Mixed Cart,2323,1920,17.30%,NetBanking,Mumbai,160932,First,Meta,Delivered
ORD-20220103-000057,CUST-0013884,1/3/2022,Mixed Cart,1800,1563,13.20%,UPI,Patna,218585,First,Google,Delivered
ORD-20220104-000058,CUST-0024982,1/4/2022,2-item cart,2815,2257,19.80%,UPI,Chennai,469514,First,Offline (Friends/Family),Returned
ORD-20220104-000059,CUST-0009795,1/4/2022,Single item,2084,1811,13.10%,COD,Lucknow,439160,First,Email/SMS,Delivered
ORD-20220104-000060,CUST-0011315,1/4/2022,Mixed Cart,2493,1957,21.50%,Wallet,Pune,791665,First,Offline (Friends/Family),Delivered
ORD-20220104-000061,CUST-0018425,1/4/2022,Mixed Cart,3139,2231,28.90%,Card,Indore,809566,First,Influencer,Delivered
ORD-20220104-000062,CUST-0000419,1/4/2022,Single item,2265,2039,10.00%,Card,Mumbai,262387,First,Meta,Returned
ORD-20220104-000063,CUST-0013052,1/4/2022,Mixed Cart,2964,2215,25.30%,Card,Bengaluru,677461,First,Influencer,Returned
ORD-20220104-000064,CUST-0021205,1/4/2022,2-item cart,2437,1966,19.30%,Card,Delhi,411611,First,Meta,Delivered
ORD-20220104-000065,CUST-0001763,1/4/2022,Single item,2002,1765,11.80%,UPI,Delhi,760707,First,Organic Instagram,Delivered
ORD-20220104-000066,CUST-0024744,1/4/2022,Single item,2239,1602,28.50%,Card,Noida,316013,First,Email/SMS,Returned
ORD-20220105-000067,CUST-0024088,1/5/2022,2-item cart,1877,1655,11.90%,Card,Hyderabad,559324,First,Meta,Returned
ORD-20220105-000068,CUST-0005073,1/5/2022,Mixed Cart,2293,1848,19.40%,UPI,Ludhiana,735875,First,Email/SMS,Delivered
ORD-20220105-000069,CUST-0011734,1/5/2022,Mixed Cart,2511,2017,19.70%,UPI,Vadodara,660917,First,Meta,RTO
ORD-20220105-000070,CUST-0003013,1/5/2022,Mixed Cart,2354,1804,23.30%,UPI,Nashik,805557,First,Meta,Returned
ORD-20220105-000071,CUST-0021277,1/5/2022,Single item,2029,1826,10.00%,UPI,Coimbatore,577316,First,Google,Delivered
ORD-20220105-000072,CUST-0026091,1/5/2022,2-item cart,1894,1613,14.80%,NetBanking,Chennai,676480,First,Meta,Delivered
ORD-20220105-000073,CUST-0001437,1/5/2022,Mixed Cart,2089,1812,13.30%,UPI,Chandigarh,445873,First,Email/SMS,Returned
ORD-20220105-000074,CUST-0022159,1/5/2022,Mixed Cart,1800,1358,24.50%,Card,Delhi,828700,First,Meta,Delivered
ORD-20220105-000075,CUST-0002364,1/5/2022,Single item,1910,1684,11.80%,COD,Pune,591533,First,Meta,RTO
ORD-20220106-000076,CUST-0021757,1/6/2022,2-item cart,1805,1565,13.30%,UPI,Delhi,516882,First,Meta,Returned
ORD-20220106-000077,CUST-0025199,1/6/2022,Mixed Cart,1895,1655,12.70%,Card,Noida,724055,First,Organic Instagram,Delivered
ORD-20220106-000078,CUST-0019876,1/6/2022,Single item,2490,1960,21.30%,UPI,Noida,568937,First,Influencer,RTO
ORD-20220106-000079,CUST-0026109,1/6/2022,Mixed Cart,2391,1799,24.80%,COD,Lucknow,774846,First,Influencer,Delivered
ORD-20220106-000080,CUST-0018189,1/6/2022,2-item cart,1800,1350,25.00%,UPI,Mumbai,710539,First,Google,Delivered
ORD-20220106-000081,CUST-0011268,1/6/2022,2-item cart,2261,1956,13.50%,UPI,Kanpur,647451,First,Meta,Delivered
ORD-20220106-000082,CUST-0018590,1/6/2022,Single item,1800,1420,21.10%,COD,Visakhapatnam,685513,First,Google,Returned
ORD-20220106-000083,CUST-0015965,1/6/2022,Single item,2467,1938,21.40%,NetBanking,Hyderabad,813905,First,Meta,Delivered
ORD-20220106-000084,CUST-0021608,1/6/2022,Single item,2251,1990,11.60%,UPI,Indore,703025,First,Influencer,Delivered
ORD-20220106-000085,CUST-0023338,1/6/2022,2-item cart,2077,1869,10.00%,COD,Kolkata,486949,First,Influencer,Delivered
ORD-20220107-000086,CUST-0018078,1/7/2022,Mixed Cart,1906,1613,15.40%,UPI,Chandigarh,195956,First,Organic Instagram,Returned
ORD-20220107-000087,CUST-0002506,1/7/2022,Mixed Cart,1800,1478,17.90%,COD,Nashik,641816,First,Influencer,Delivered
ORD-20220107-000088,CUST-0017809,1/7/2022,Mixed Cart,2081,1581,24.00%,Wallet,Lucknow,795673,First,Meta,Returned
ORD-20220107-000089,CUST-0012198,1/7/2022,Mixed Cart,2295,2010,12.40%,Card,Chennai,636561,First,Meta,Delivered
ORD-20220107-000090,CUST-0014622,1/7/2022,2-item cart,1880,1692,10.00%,UPI,Indore,703298,First,Email/SMS,Delivered
ORD-20220107-000091,CUST-0007594,1/7/2022,2-item cart,2252,1893,16.00%,UPI,Hyderabad,154888,First,Google,Delivered
ORD-20220107-000092,CUST-0001308,1/7/2022,Mixed Cart,2544,2123,16.60%,NetBanking,Bengaluru,656700,First,Meta,Delivered
ORD-20220107-000093,CUST-0012404,1/7/2022,Mixed Cart,1800,1408,21.80%,UPI,Chandigarh,191619,First,Meta,Delivered
ORD-20220107-000094,CUST-0015954,1/7/2022,Single item,2163,1748,19.20%,COD,Nashik,116919,First,Meta,Returned
ORD-20220107-000095,CUST-0012419,1/7/2022,Single item,1948,1417,27.30%,UPI,Surat,234079,First,Meta,Returned
ORD-20220107-000096,CUST-0019360,1/7/2022,Single item,2682,2077,22.60%,UPI,Bhubaneswar,133537,First,Meta,Delivered
ORD-20220107-000097,CUST-0004813,1/7/2022,Mixed Cart,2043,1763,13.70%,UPI,Delhi,298784,First,Meta,Delivered
ORD-20220107-000098,CUST-0026913,1/7/2022,Single item,2198,1871,14.90%,UPI,Mumbai,581024,First,Meta,Delivered
ORD-20220107-000099,CUST-0011882,1/7/2022,2-item cart,1936,1608,17.00%,COD,Delhi,801692,First,Meta,Delivered
ORD-20220107-000100,CUST-0012631,1/7/2022,Single item,2142,1736,19.00%,UPI,Mumbai,658103,First,Google,Delivered
ORD-20220107-000101,CUST-0020145,1/7/2022,Single item,1800,1350,25.00%,Card,Mysuru,667245,First,Meta,Delivered
ORD-20220107-000102,CUST-0019544,1/7/2022,Single item,1800,1404,22.00%,Card,Kolkata,551120,First,Meta,Delivered
ORD-20220107-000103,CUST-0011486,1/7/2022,Single item,2381,2046,14.10%,Card,Noida,714107,First,Meta,Delivered
ORD-20220107-000104,CUST-0017817,1/7/2022,Mixed Cart,2266,1936,14.50%,Card,Delhi,117460,First,Meta,RTO
ORD-20220107-000105,CUST-0011871,1/7/2022,2-item cart,2106,1760,16.40%,UPI,Kolkata,723806,First,Organic Instagram,Delivered
ORD-20220107-000106,CUST-0006675,1/7/2022,2-item cart,1800,1350,25.00%,Card,Gurgaon,615905,First,Google,Delivered
ORD-20220108-000107,CUST-0024111,1/8/2022,Single item,2063,1856,10.00%,UPI,Mysuru,234871,First,Meta,Delivered
ORD-20220108-000108,CUST-0011090,1/8/2022,Single item,2487,1830,26.40%,COD,Surat,827818,First,Meta,Delivered
ORD-20220108-000109,CUST-0009756,1/8/2022,2-item cart,2117,1847,12.70%,Card,Mumbai,342543,First,Google,Delivered
ORD-20220108-000110,CUST-0019578,1/8/2022,Mixed Cart,2154,1696,21.30%,UPI,Gurgaon,293786,First,Meta,Returned
ORD-20220108-000111,CUST-0010979,1/8/2022,Mixed Cart,2247,1679,25.30%,Card,Jaipur,352925,First,Influencer,Delivered
ORD-20220108-000112,CUST-0025549,1/8/2022,Single item,2412,1937,19.70%,Card,Coimbatore,535147,First,Google,Delivered
ORD-20220108-000113,CUST-0018322,1/8/2022,2-item cart,1879,1584,15.70%,Wallet,Hyderabad,399940,First,Email/SMS,Delivered
ORD-20220108-000114,CUST-0026345,1/8/2022,2-item cart,2152,1732,19.50%,UPI,Mumbai,418546,First,Meta,Delivered
ORD-20220108-000115,CUST-0022748,1/8/2022,2-item cart,1800,1350,25.00%,Card,Hyderabad,617123,First,Influencer,Delivered
ORD-20220108-000116,CUST-0000897,1/8/2022,Single item,1978,1439,27.20%,Card,Delhi,511262,First,Email/SMS,Delivered
ORD-20220108-000117,CUST-0016925,1/8/2022,2-item cart,1917,1719,10.30%,Card,Vadodara,386143,First,Meta,Delivered
ORD-20220108-000118,CUST-0015163,1/8/2022,Single item,1911,1372,28.20%,UPI,Nashik,392147,First,Influencer,Delivered
ORD-20220108-000119,CUST-0007932,1/8/2022,Single item,3123,2186,30.00%,COD,Delhi,322617,First,Influencer,Delivered
ORD-20220108-000120,CUST-0021740,1/8/2022,2-item cart,1800,1450,19.40%,Card,Mumbai,677777,First,Offline (Friends/Family),Delivered
ORD-20220108-000121,CUST-0009003,1/8/2022,Single item,1966,1554,21.00%,Card,Dehradun,645963,First,Meta,Delivered
ORD-20220108-000122,CUST-0017720,1/8/2022,Mixed Cart,1908,1554,18.50%,UPI,Hyderabad,829679,First,Meta,Returned
ORD-20220108-000123,CUST-0025297,1/8/2022,2-item cart,2091,1882,10.00%,UPI,Indore,451245,First,Organic Instagram,Returned
ORD-20220108-000124,CUST-0011243,1/8/2022,2-item cart,2285,1922,15.90%,UPI,Jaipur,330760,First,Influencer,Delivered
ORD-20220109-000125,CUST-0018871,1/9/2022,Single item,1881,1539,18.20%,Card,Patna,393063,First,Google,Delivered
ORD-20220109-000126,CUST-0011002,1/9/2022,Mixed Cart,1941,1648,15.10%,UPI,Chennai,251004,First,Offline (Friends/Family),Delivered
ORD-20220109-000127,CUST-0018421,1/9/2022,2-item cart,1800,1350,25.00%,COD,Mumbai,213783,First,Meta,Delivered
ORD-20220109-000128,CUST-0010967,1/9/2022,Single item,2161,1885,12.80%,UPI,Hyderabad,694573,First,Instagram DM,RTO
ORD-20220109-000129,CUST-0006520,1/9/2022,Mixed Cart,1940,1611,17.00%,Card,Chandigarh,674594,First,Influencer,Delivered
ORD-20220109-000130,CUST-0002570,1/9/2022,2-item cart,1895,1590,16.10%,Card,Bengaluru,772399,First,Offline (Friends/Family),Delivered
ORD-20220109-000131,CUST-0002338,1/9/2022,Mixed Cart,1800,1416,21.30%,UPI,Hyderabad,438710,First,Meta,Returned
ORD-20220109-000132,CUST-0011901,1/9/2022,Mixed Cart,2100,1671,20.40%,COD,Jaipur,582162,First,Meta,RTO
ORD-20220110-000133,CUST-0022961,1/10/2022,Mixed Cart,1800,1350,25.00%,COD,Delhi,526333,First,Meta,Delivered
ORD-20220110-000134,CUST-0025068,1/10/2022,2-item cart,2000,1800,10.00%,NetBanking,Mumbai,758128,First,Google,Delivered
ORD-20220110-000135,CUST-0020529,1/10/2022,2-item cart,2299,1947,15.30%,UPI,Lucknow,288896,First,Influencer,Delivered
ORD-20220110-000136,CUST-0017714,1/10/2022,Mixed Cart,2232,1974,11.60%,Wallet,Lucknow,251679,First,Offline (Friends/Family),Returned
ORD-20220110-000137,CUST-0018481,1/10/2022,Single item,1950,1644,15.70%,Card,Chandigarh,669714,First,Meta,Delivered
ORD-20220110-000138,CUST-0005103,1/10/2022,2-item cart,2812,2142,23.80%,UPI,Mumbai,252922,First,Meta,RTO
ORD-20220110-000139,CUST-0005675,1/10/2022,2-item cart,2435,2111,13.30%,COD,Surat,117569,First,Meta,Delivered
ORD-20220110-000140,CUST-0021168,1/10/2022,Mixed Cart,1800,1443,19.80%,Card,Hyderabad,385755,First,Google,Delivered
ORD-20220110-000141,CUST-0021249,1/10/2022,Single item,2471,2194,11.20%,COD,Patna,542962,First,Meta,Returned
ORD-20220110-000142,CUST-0022954,1/10/2022,Single item,2419,2074,14.20%,Card,Delhi,130338,First,Email/SMS,RTO
ORD-20220110-000143,CUST-0023826,1/10/2022,2-item cart,2584,2210,14.50%,UPI,Mumbai,125441,First,Meta,Returned
ORD-20220110-000144,CUST-0010822,1/10/2022,2-item cart,2013,1736,13.80%,UPI,Noida,263185,First,Influencer,RTO
ORD-20220110-000145,CUST-0026780,1/10/2022,Single item,2494,1991,20.20%,Card,Mumbai,371056,First,Email/SMS,Returned
ORD-20220110-000146,CUST-0017077,1/10/2022,Mixed Cart,1800,1524,15.30%,Card,Delhi,518025,First,Meta,Returned
ORD-20220110-000147,CUST-0017070,1/10/2022,Single item,2530,2043,19.30%,UPI,Ahmedabad,423329,First,Organic Instagram,Delivered
ORD-20220110-000148,CUST-0000494,1/10/2022,Mixed Cart,2356,1669,29.20%,UPI,Bengaluru,235462,First,Meta,Delivered
ORD-20220111-000149,CUST-0005079,1/11/2022,Mixed Cart,2192,1765,19.50%,UPI,Mumbai,275359,First,Influencer,Returned
ORD-20220111-000150,CUST-0022982,1/11/2022,2-item cart,1800,1476,18.00%,Card,Mumbai,621541,First,Email/SMS,Delivered
ORD-20220111-000151,CUST-0000700,1/11/2022,Mixed Cart,2481,1958,21.10%,Card,Hyderabad,251277,First,Meta,Delivered
ORD-20220111-000152,CUST-0018570,1/11/2022,Mixed Cart,1907,1512,20.70%,UPI,Hyderabad,601148,First,Influencer,Delivered
ORD-20220111-000153,CUST-0013161,1/11/2022,Single item,2067,1580,23.60%,COD,Lucknow,586137,First,Google,Delivered
ORD-20220111-000154,CUST-0020323,1/11/2022,Mixed Cart,2386,1993,16.50%,UPI,Bhopal,800267,First,Offline (Friends/Family),Returned
ORD-20220111-000155,CUST-0018573,1/11/2022,Single item,2041,1613,21.00%,UPI,Chandigarh,225831,First,Google,RTO
ORD-20220111-000156,CUST-0018086,1/11/2022,Mixed Cart,2026,1720,15.10%,UPI,Mumbai,782926,First,Google,Delivered
ORD-20220111-000157,CUST-0019856,1/11/2022,2-item cart,2102,1794,14.60%,COD,Mumbai,328878,First,Email/SMS,Delivered
ORD-20220111-000158,CUST-0024363,1/11/2022,Mixed Cart,1970,1523,22.70%,Wallet,Chennai,496997,First,Meta,Delivered
ORD-20220111-000159,CUST-0002554,1/11/2022,Single item,1800,1350,25.00%,NetBanking,Ranchi,211837,First,Meta,Delivered
ORD-20220111-000160,CUST-0005863,1/11/2022,Mixed Cart,2405,1877,21.90%,Card,Indore,220640,First,Google,Delivered
ORD-20220111-000161,CUST-0001966,1/11/2022,2-item cart,2638,1846,30.00%,UPI,Chennai,463908,First,Google,Delivered
ORD-20220111-000162,CUST-0013512,1/11/2022,Mixed Cart,1800,1350,25.00%,COD,Kolkata,449163,First,Google,Returned
ORD-20220111-000163,CUST-0014664,1/11/2022,2-item cart,2400,1832,23.60%,NetBanking,Mumbai,146347,First,Offline (Friends/Family),Delivered
ORD-20220111-000164,CUST-0019534,1/11/2022,Mixed Cart,2331,1876,19.50%,UPI,Bhubaneswar,833223,First,Organic Instagram,Delivered
ORD-20220111-000165,CUST-0013025,1/11/2022,Mixed Cart,2340,1638,30.00%,UPI,Bengaluru,720435,First,Meta,Returned
ORD-20220112-000166,CUST-0017808,1/12/2022,Single item,1994,1583,20.60%,COD,Gurgaon,291302,First,Organic Instagram,Delivered
ORD-20220112-000167,CUST-0000173,1/12/2022,2-item cart,1964,1718,12.50%,Card,Mumbai,168640,First,Instagram DM,Delivered
ORD-20220112-000168,CUST-0001191,1/12/2022,Single item,2010,1809,10.00%,UPI,Chandigarh,741560,First,Instagram DM,Delivered
ORD-20220112-000169,CUST-0018512,1/12/2022,2-item cart,1800,1350,25.00%,UPI,Jaipur,341523,First,Influencer,Delivered
ORD-20220112-000170,CUST-0007278,1/12/2022,Single item,1800,1427,20.70%,Card,Gurgaon,265203,First,Meta,Delivered
ORD-20220112-000171,CUST-0008367,1/12/2022,Mixed Cart,2221,1863,16.10%,Card,Vadodara,251423,First,Meta,Delivered
ORD-20220112-000172,CUST-0017179,1/12/2022,Mixed Cart,1891,1673,11.50%,UPI,Mumbai,560957,First,Email/SMS,RTO
ORD-20220112-000173,CUST-0010510,1/12/2022,2-item cart,2090,1805,13.60%,UPI,Chandigarh,429626,First,Meta,Delivered
ORD-20220112-000174,CUST-0022186,1/12/2022,Single item,2720,2042,24.90%,UPI,Kochi,273569,First,Organic Instagram,Returned
ORD-20220112-000175,CUST-0020636,1/12/2022,Mixed Cart,2118,1563,26.20%,COD,Mumbai,226684,First,Meta,Returned
ORD-20220113-000176,CUST-0024588,1/13/2022,Mixed Cart,2048,1775,13.30%,UPI,Ahmedabad,258214,First,Influencer,Delivered
ORD-20220113-000177,CUST-0011318,1/13/2022,2-item cart,2238,1799,19.60%,UPI,Kochi,394460,First,Google,RTO
ORD-20220113-000178,CUST-0021631,1/13/2022,2-item cart,2354,2002,15.00%,UPI,Mumbai,416704,First,Google,Returned
ORD-20220113-000179,CUST-0015882,1/13/2022,Mixed Cart,1800,1502,16.50%,COD,Lucknow,305473,First,Email/SMS,Delivered
ORD-20220113-000180,CUST-0009992,1/13/2022,2-item cart,2249,1747,22.30%,UPI,Chennai,274632,First,Influencer,Delivered
ORD-20220113-000181,CUST-0020506,1/13/2022,2-item cart,2305,1906,17.30%,UPI,Chennai,140898,First,Instagram DM,Returned
ORD-20220113-000182,CUST-0023546,1/13/2022,2-item cart,1842,1563,15.10%,Card,Kochi,765911,First,Meta,Delivered
ORD-20220113-000183,CUST-0017768,1/13/2022,2-item cart,2454,1935,21.20%,UPI,Chandigarh,719255,First,Influencer,Delivered
ORD-20220113-000184,CUST-0004432,1/13/2022,Single item,2287,2004,12.40%,Card,Kanpur,262204,First,Google,Returned
ORD-20220113-000185,CUST-0019893,1/13/2022,2-item cart,1886,1698,10.00%,COD,Pune,140916,First,Organic Instagram,Delivered
ORD-20220113-000186,CUST-0020869,1/13/2022,Mixed Cart,2154,1680,22.00%,Wallet,Bengaluru,307063,First,Meta,Delivered
ORD-20220113-000187,CUST-0007567,1/13/2022,Mixed Cart,1872,1409,24.80%,Card,Delhi,137352,First,Influencer,Delivered
ORD-20220113-000188,CUST-0012254,1/13/2022,Single item,1839,1655,10.00%,UPI,Chennai,606865,First,Meta,RTO
ORD-20220113-000189,CUST-0006647,1/13/2022,2-item cart,2469,1875,24.10%,COD,Mumbai,570624,First,Google,Returned
ORD-20220113-000190,CUST-0019921,1/13/2022,Mixed Cart,2331,1684,27.80%,COD,Hyderabad,438097,First,Email/SMS,Delivered
ORD-20220113-000191,CUST-0001262,1/13/2022,Mixed Cart,1804,1505,16.60%,Card,Kolkata,154477,First,Meta,Delivered
ORD-20220113-000192,CUST-0020666,1/13/2022,2-item cart,2525,1975,21.80%,NetBanking,Delhi,570906,First,Meta,Delivered
ORD-20220113-000193,CUST-0001788,1/13/2022,Single item,1887,1553,17.70%,Card,Kanpur,596098,First,Meta,Delivered
ORD-20220113-000194,CUST-0022811,1/13/2022,Mixed Cart,1897,1478,22.10%,Card,Chennai,449174,First,Meta,Delivered
ORD-20220113-000195,CUST-0017577,1/13/2022,2-item cart,1915,1590,17.00%,Card,Kanpur,281961,First,Meta,Returned
ORD-20220114-000196,CUST-0012586,1/14/2022,Single item,2137,1691,20.90%,COD,Ranchi,751805,First,Instagram DM,Delivered
ORD-20220114-000197,CUST-0004919,1/14/2022,2-item cart,1800,1426,20.80%,UPI,Pune,163803,First,Meta,Delivered
ORD-20220114-000198,CUST-0021802,1/14/2022,Single item,2092,1815,13.30%,NetBanking,Mumbai,375407,First,Google,Delivered
ORD-20220114-000199,CUST-0019296,1/14/2022,Mixed Cart,2174,1749,19.50%,Card,Kolkata,573340,First,Google,Returned
ORD-20220114-000200,CUST-0006804,1/14/2022,Mixed Cart,2123,1839,13.40%,UPI,Pune,795011,First,Meta,RTO
ORD-20220114-000201,CUST-0002874,1/14/2022,Mixed Cart,2075,1703,17.90%,UPI,Chennai,296907,First,Meta,Delivered
ORD-20220114-000202,CUST-0014921,1/14/2022,2-item cart,2528,1815,28.20%,COD,Hyderabad,147582,First,Meta,Delivered
ORD-20220114-000203,CUST-0018038,1/14/2022,Mixed Cart,1800,1350,25.00%,UPI,Ahmedabad,237951,First,Meta,Delivered
ORD-20220114-000204,CUST-0003582,1/14/2022,Mixed Cart,2222,1868,16.00%,Card,Ranchi,664641,First,Offline (Friends/Family),Delivered
